Index,School Name,School Type,Starting Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career Median Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Latitude,Longitude
0,Massachusetts Institute of Technology,Engineering,72200,76800,99200,126000,168000,220000,42.359243,-71.093226
1,California Institute of Technology,Engineering,75500,89750,104000,123000,161000,161000,34.137349,-118.125878
2,Harvey Mudd College,Engineering,71800,83900,96000,122000,180000,180000,34.106515,-117.709837
3,Worcester Polytechnic Institute,Engineering,61000,80000,91200,114000,137000,180000,42.274853,-71.808339
4,Carnegie Mellon University,Engineering,61800,63300,80100,111000,150000,209000,40.44357,-79.941993
5,Rensselaer Polytechnic Institute,Engineering,61100,71600,85500,110000,140000,182000,42.729978,-73.676646
6,Georgia Institute of Technology,Engineering,58300,67200,85200,106000,137000,183000,33.77242,-84.394832
7,Colorado School of Mines,Engineering,58100,62200,87900,106000,142000,201000,39.751443,-105.223364
8,Stevens Institute of Technology,Engineering,60600,68700,81900,105000,138000,185000,40.744776,-74.025334
9,Illinois Institute of Technology,Engineering,56000,56100,77400,97800,121000,165000,41.8313,-87.627321
10,Wentworth Institute of Technology,Engineering,53000,55200,74000,96700,117000,153000,42.336632,-71.094983
11,Virginia Polytechnic Institute and State University,Engineering,53500,50600,71400,95400,124000,163000,37.229012,-80.423675
12,South Dakota School of Mines and Technology,Engineering,55800,71500,81900,93400,122000,147000,44.075439,-103.205753
13,New Mexico Institute of Mining and Technology,Engineering,51000,59200,67400,93400,123000,123000,34.067041,-106.905211
14,Rochester Institute of Technology,Engineering,48900,45000,62100,84600,112000,159000,43.084188,-77.67386
15,Embry Riddle Aeronautical University,Engineering,52700,49800,64000,80700,106000,142000,34.616766,-112.449741
16,Tennessee Technological University,Engineering,46200,42100,62600,80000,99500,121000,36.174754,-85.504039
17,University of Illinois Urbana Champaign,Party,52900,48200,68900,96100,132000,177000,40.104718,-88.229114
18,University of Maryland College Park,Party,52000,50400,68300,95000,126000,166000,38.988178,-76.944721
19,University of California Santa Barbara,Party,50500,51300,71200,95000,129000,173000,34.416297,-119.846426
20,University of Texas Austin,Party,49700,50100,67400,93900,129000,188000,30.282825,-97.738273
21,State University of New York Albany,Party,44500,47000,63100,92200,135000,209000,42.685489,-73.824662
22,University of Florida,Party,47100,45400,62900,87900,120000,172000,29.64629,-82.347911
23,Louisiana State University,Party,46900,43700,61300,87800,120000,165000,31.178616,-92.414409
24,University of Georgia,Party,44100,43100,57800,86000,118000,164000,33.956262,-83.374039
25,Pennsylvania State University,Party,49900,46300,62000,85700,117000,160000,40.7965,-77.862848
26,Arizona State University,Party,47400,44600,60700,84100,114000,163000,33.417721,-111.934383
27,Indiana University Bloomington,Party,46300,43600,60400,84000,119000,178000,39.16609,-86.526559
28,University of Iowa,Party,44700,43300,61100,83900,116000,163000,41.661935,-91.536425
29,Randolph Macon College,Party,42600,48350,54100,83600,123000,123000,37.76043,-77.478416
30,University of Alabama Tuscaloosa,Party,41300,40100,56500,81400,117000,161000,33.211875,-87.545978
31,University of Mississippi,Party,41400,40400,53500,79700,108000,186000,34.365529,-89.537434
32,University of New Hampshire,Party,41800,41700,56400,78300,114000,147000,43.135934,-70.932465
33,West Virginia University,Party,43100,39700,55700,78100,106000,141000,39.634371,-79.954391
34,University of Tennessee,Party,43800,41900,53200,74600,106000,153000,35.047519,-85.300247
35,Ohio University,Party,42200,36600,52800,73400,106000,150000,39.326798,-82.100985
36,Florida State University,Party,42100,39600,52800,73000,107000,156000,30.440756,-84.291921
37,Bucknell University,Liberal Arts,54100,62800,80600,110000,156000,251000,40.954317,-76.882616
38,Colgate University,Liberal Arts,52800,60000,76700,108000,167000,265000,42.819475,-75.536346
39,Amherst College,Liberal Arts,54500,69700,84900,107000,162000,162000,42.372459,-72.518493
40,Lafayette College,Liberal Arts,53900,70600,79300,107000,144000,204000,40.69956,-75.209786
41,Bowdoin College,Liberal Arts,48100,61350,74600,107000,146000,146000,43.907134,-69.963942
42,College of the Holy Cross,Liberal Arts,50200,57900,65600,106000,143000,143000,42.23752,-71.808214
43,Occidental College,Liberal Arts,51900,53350,54800,105000,157000,157000,34.127124,-118.210908
44,Washington and Lee University,Liberal Arts,53600,68200,82800,104000,146000,146000,37.788939,-79.443018
45,Swarthmore College,Liberal Arts,49700,58450,67200,104000,167000,167000,39.905159,-75.354278
46,Davidson College,Liberal Arts,46100,58300,70500,104000,146000,146000,35.499767,-80.843979
47,Carleton College,Liberal Arts,47500,58450,69400,103000,141000,141000,44.462318,-93.154666
48,Williams College,Liberal Arts,51700,64050,76400,102000,143000,143000,42.712725,-73.203132
49,Pomona College,Liberal Arts,48600,55950,63300,101000,161000,161000,34.099027,-117.714556
50,Wesleyan University,Liberal Arts,46500,42000,62500,97900,126000,215000,41.554665,-72.657146
