School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,Latitude,Longitude
Massachusetts Institute of Technology,Engineering,"$72,200.00 ","$126,000.00 ","$76,800.00 ","$99,200.00 ","$168,000.00 ","$220,000.00 ",42.359243,-71.093226
California Institute of Technology,Engineering,"$75,500.00 ","$123,000.00 ",,"$104,000.00 ","$161,000.00 ",,34.137349,-118.125878
Harvey Mudd College,Engineering,"$71,800.00 ","$122,000.00 ",,"$96,000.00 ","$180,000.00 ",,34.106515,-117.709837
Polytechnic University of New York-Brooklyn,Engineering,"$62,400.00 ","$114,000.00 ","$66,800.00 ","$94,300.00 ","$143,000.00 ","$190,000.00 ",,
Cooper Union,Engineering,"$62,200.00 ","$114,000.00 ",,"$80,200.00 ","$142,000.00 ",,,
Worcester Polytechnic Institute,Engineering,"$61,000.00 ","$114,000.00 ","$80,000.00 ","$91,200.00 ","$137,000.00 ","$180,000.00 ",42.274853,-71.808339
Carnegie Mellon University,Engineering,"$61,800.00 ","$111,000.00 ","$63,300.00 ","$80,100.00 ","$150,000.00 ","$209,000.00 ",40.44357,-79.941993
Rensselaer Polytechnic Institute,Engineering,"$61,100.00 ","$110,000.00 ","$71,600.00 ","$85,500.00 ","$140,000.00 ","$182,000.00 ",42.729978,-73.676646
Georgia Institute of Technology,Engineering,"$58,300.00 ","$106,000.00 ","$67,200.00 ","$85,200.00 ","$137,000.00 ","$183,000.00 ",33.77242,-84.394832
Colorado School of Mines,Engineering,"$58,100.00 ","$106,000.00 ","$62,200.00 ","$87,900.00 ","$142,000.00 ","$201,000.00 ",39.751443,-105.223364
Stevens Institute of Technology,Engineering,"$60,600.00 ","$105,000.00 ","$68,700.00 ","$81,900.00 ","$138,000.00 ","$185,000.00 ",40.744776,-74.025334
Illinois Institute of Technology,Engineering,"$56,000.00 ","$97,800.00 ","$56,100.00 ","$77,400.00 ","$121,000.00 ","$165,000.00 ",41.8313,-87.627321
Wentworth Institute of Technology,Engineering,"$53,000.00 ","$96,700.00 ","$55,200.00 ","$74,000.00 ","$117,000.00 ","$153,000.00 ",42.336632,-71.094983
Virginia Polytechnic Institute and State University,Engineering,"$53,500.00 ","$95,400.00 ","$50,600.00 ","$71,400.00 ","$124,000.00 ","$163,000.00 ",37.229012,-80.423675
Virginia Polytechnic Institute and State University,Engineering,"$53,500.00 ","$95,400.00 ","$50,600.00 ","$71,400.00 ","$124,000.00 ","$163,000.00 ",37.257489,-79.942599
South Dakota School of Mines and Technology,Engineering,"$55,800.00 ","$93,400.00 ","$71,500.00 ","$81,900.00 ","$122,000.00 ","$147,000.00 ",44.075439,-103.205753
New Mexico Institute of Mining and Technology,Engineering,"$51,000.00 ","$93,400.00 ",,"$67,400.00 ","$123,000.00 ",,34.067041,-106.905211
Rochester Institute of Technology,Engineering,"$48,900.00 ","$84,600.00 ","$45,000.00 ","$62,100.00 ","$112,000.00 ","$159,000.00 ",43.084188,-77.67386
Embry-Riddle Aeronautical University,Engineering,"$52,700.00 ","$80,700.00 ","$49,800.00 ","$64,000.00 ","$106,000.00 ","$142,000.00 ",29.189903,-81.048367
Tennessee Technological University,Engineering,"$46,200.00 ","$80,000.00 ","$42,100.00 ","$62,600.00 ","$99,500.00 ","$121,000.00 ",36.174754,-85.504039
University of Illinois-Urbana-Champaign,Party,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 ",40.104718,-88.229114
University of Maryland-College Park,Party,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 ",38.988178,-76.944721
University of California-Santa Barbara,Party,"$50,500.00 ","$95,000.00 ","$51,300.00 ","$71,200.00 ","$129,000.00 ","$173,000.00 ",34.416297,-119.846426
University of Texas-Austin,Party,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 ",30.282825,-97.738273
State University of New York-Albany,Party,"$44,500.00 ","$92,200.00 ","$47,000.00 ","$63,100.00 ","$135,000.00 ","$209,000.00 ",42.685489,-73.824662
University of Florida,Party,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 ",29.64629,-82.347911
Louisiana State University,Party,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 ",31.178616,-92.414409
University of Georgia,Party,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 ",33.956262,-83.374039
Pennsylvania State University,Party,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 ",40.7965,-77.862848
Arizona State University,Party,"$47,400.00 ","$84,100.00 ","$44,600.00 ","$60,700.00 ","$114,000.00 ","$163,000.00 ",33.417721,-111.934383
Indiana University-Bloomington,Party,"$46,300.00 ","$84,000.00 ","$43,600.00 ","$60,400.00 ","$119,000.00 ","$178,000.00 ",39.16609,-86.526559
University of Iowa,Party,"$44,700.00 ","$83,900.00 ","$43,300.00 ","$61,100.00 ","$116,000.00 ","$163,000.00 ",41.661935,-91.536425
Randolph-Macon College,Party,"$42,600.00 ","$83,600.00 ",,"$54,100.00 ","$123,000.00 ",,37.76043,-77.478416
University of Alabama-Tuscaloosa,Party,"$41,300.00 ","$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 ",33.211875,-87.545978
University of Mississippi,Party,"$41,400.00 ","$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 ",34.365529,-89.537434
University of New Hampshire,Party,"$41,800.00 ","$78,300.00 ","$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 ",43.135934,-70.932465
West Virginia University,Party,"$43,100.00 ","$78,100.00 ","$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 ",39.634371,-79.954391
University of Tennessee,Party,"$43,800.00 ","$74,600.00 ","$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 ",35.952082,-83.925852
Ohio University,Party,"$42,200.00 ","$73,400.00 ","$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 ",39.326798,-82.100985
Florida State University,Party,"$42,100.00 ","$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 ",30.440756,-84.291921
Bucknell University,Liberal Arts,"$54,100.00 ","$110,000.00 ","$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 ",40.954317,-76.882616
Colgate University,Liberal Arts,"$52,800.00 ","$108,000.00 ","$60,000.00 ","$76,700.00 ","$167,000.00 ","$265,000.00 ",42.819475,-75.536346
Amherst College,Liberal Arts,"$54,500.00 ","$107,000.00 ",,"$84,900.00 ","$162,000.00 ",,42.372459,-72.518493
Lafayette College,Liberal Arts,"$53,900.00 ","$107,000.00 ","$70,600.00 ","$79,300.00 ","$144,000.00 ","$204,000.00 ",40.69956,-75.209786
Bowdoin College,Liberal Arts,"$48,100.00 ","$107,000.00 ",,"$74,600.00 ","$146,000.00 ",,43.907134,-69.963942
College of the Holy Cross,Liberal Arts,"$50,200.00 ","$106,000.00 ",,"$65,600.00 ","$143,000.00 ",,42.23752,-71.808214
Occidental College,Liberal Arts,"$51,900.00 ","$105,000.00 ",,"$54,800.00 ","$157,000.00 ",,34.127124,-118.210908
Washington and Lee University,Liberal Arts,"$53,600.00 ","$104,000.00 ",,"$82,800.00 ","$146,000.00 ",,37.788939,-79.443018
Swarthmore College,Liberal Arts,"$49,700.00 ","$104,000.00 ",,"$67,200.00 ","$167,000.00 ",,39.905159,-75.354278
Davidson College,Liberal Arts,"$46,100.00 ","$104,000.00 ",,"$70,500.00 ","$146,000.00 ",,35.499767,-80.843979
Carleton College,Liberal Arts,"$47,500.00 ","$103,000.00 ",,"$69,400.00 ","$141,000.00 ",,44.462318,-93.154666
Williams College,Liberal Arts,"$51,700.00 ","$102,000.00 ",,"$76,400.00 ","$143,000.00 ",,42.712725,-73.203132
Pomona College,Liberal Arts,"$48,600.00 ","$101,000.00 ",,"$63,300.00 ","$161,000.00 ",,34.099027,-117.714556
Wesleyan University,Liberal Arts,"$46,500.00 ","$97,900.00 ","$42,000.00 ","$62,500.00 ","$126,000.00 ","$215,000.00 ",41.554665,-72.657146
Bates College,Liberal Arts,"$47,300.00 ","$96,500.00 ",,"$60,700.00 ","$162,000.00 ",,44.105299,-70.203333
Union College,Liberal Arts,"$47,200.00 ","$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 ",36.870875,-83.888477
Union College,Liberal Arts,"$47,200.00 ","$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 ",40.774778,-96.651095
Union College,Liberal Arts,"$47,200.00 ","$95,800.00 ","$48,700.00 ","$75,200.00 ","$135,000.00 ","$230,000.00 ",42.818097,-73.928788
University of Richmond,Liberal Arts,"$48,600.00 ","$94,600.00 ","$44,500.00 ","$59,400.00 ","$151,000.00 ","$211,000.00 ",37.577393,-77.538806
Vassar College,Liberal Arts,"$46,000.00 ","$94,600.00 ",,"$60,600.00 ","$123,000.00 ",,41.686895,-73.895088
Middlebury College,Liberal Arts,"$47,700.00 ","$94,200.00 ",,"$69,100.00 ","$129,000.00 ",,44.009117,-73.176068
Mount Holyoke College,Liberal Arts,"$42,400.00 ","$94,100.00 ",,"$57,100.00 ","$131,000.00 ",,42.256838,-72.575511
